asset,model,mean_volatility_forecast,mean_persistence,mean_std_resid_variance,mean_std_resid_abs_mean,mean_std_resid_lag1_acf,mean_std_resid_sq_lag1_acf,fallback_rate,convergence_rate
^CNXENERGY,garch_baseline,0.010867708363182033,0.8098561556727052,1.0066185806682517,0.7713973479185657,0.08351973928481793,0.04635425539734444,0.0,1.0
^CNXENERGY,gjr_custom,0.0106413513555716,0.8894954479273396,0.9981309485771901,0.7690980723851535,0.08850834391347068,0.06809943403106258,0.0,1.0
^CNXIT,garch_baseline,0.011085259403323193,0.9929312192622459,1.0216587223559441,0.7606068580202883,0.06786457232595848,0.033071810881345295,0.0,1.0
^CNXIT,gjr_custom,0.010550237672037112,0.9529858103976593,1.0389787276907028,0.7660191313894361,0.06612446915750371,0.013889946114913976,0.0,1.0
^CNXPHARMA,garch_baseline,0.008263312628255014,0.9218094862354479,1.0044439589987397,0.7690837345079734,0.0532012905367148,0.03047613477321132,0.0,1.0
^CNXPHARMA,gjr_custom,0.008500336476456226,0.8764625783201773,0.972792623359483,0.7613390428154359,0.06688742114741573,-0.010486079417025274,0.0,1.0
^NSEBANK,garch_baseline,0.008040410605355795,0.9902422223040036,0.9726973978692129,0.7370317503729947,0.07919263257609278,0.11529626618433131,0.0,1.0
^NSEBANK,gjr_custom,0.00819237089866229,0.9727992838729066,1.0030889660202995,0.7508990844625156,0.09594711170154518,0.08801365599657208,0.0,1.0
^NSEI,garch_baseline,0.0060496932854096205,0.9931337580548673,1.0047658711611875,0.7854253598323294,0.069608383639798,0.09540489189796894,0.0,1.0
^NSEI,gjr_custom,0.006817260671212172,0.9625729057285669,0.9671706491470478,0.7745716368952563,0.10296057068906257,0.05449497669818,0.0,1.0
